Product,Name,Price (INR),Rating,Comment Heading,Comment
"Samsung Galaxy S9 (Midnight Black, 64 GB)",ASHOK YADAV,24999.0,4,Nice product,Nice camara quality. Nice performance and display. Battery wise not good for gaming. But overall nice .thanks SAMSUNG
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Anshuman Singh,24999.0,5,Terrific,Awesome Mobile....by Samsung.After using one month..... I am writing my review.Pros:1. Screen: Amazing and Best in Market. No one can beat S9 in quality of display.2. Processor: Seamless and Smooth. You can not find any lag. Although phone is equipped with Exynos Processor (Powered by Samsung Custom Mongoose Core) but it handles even heavy tasks smoothly. 3. Battery: Some people complaining the battery backup issue. But overall battery backup is good. There are a lot of services which ...
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Narendra Singh Rathore,24999.0,5,Mind-blowing purchase,"Best ever samsung s series mobile phone. S8 is also definitely better but S9 have some advantages 1) Speed either it can reading writing to internal storage or opening apps. 2) Dual speaker setup, it's totally awesome, far better than any samsung s series device. 3) Dual aperture rear camera which have 4k 60 fps, 1080 240 fps and 720 960 fps video recording capability. 4) Little bit better in design also. Rest i believe is same as s8. Don't expect best battery life from it, sometimes i have t..."
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Paul Win,24999.0,5,Terrific purchase,fast Delivery from flipkart 🤩                                                 1. camera is awesome especially during low light photography u can get clear picture f1.5 aperture 😘                                                            2. Displays is gorgeous 🔥                                                           3.Good performance no lags                                                 4. battery back-up is gud u will get  5 to 6 hours screen on time                                ...
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Samarth Bhardwaj,24999.0,5,Perfect product!,"First let me give you all the physical overview...The handset looks awesome in the hands,having the glass back(though it attracts fingerprints)Now let's talk about the cons: 1.  Battery Backup __ It'll last a typical working day(i.e. around 16-18 hours of normal usage) 2.  Infinity Screen __ No tempered glass can be fitted...So it makes it even more fragile!!Now time for the pros: Everything about the phone is a PRO feature!!!! Whether it's about the Audio quality or the Video qualit..."
"Samsung Galaxy S9 (Midnight Black, 64 GB)",arun kumar,24999.0,5,Looks best!Performance better! Battery OK!,After one month of usage I am writing this review! Design : compact for a 5.8 inch phone. It's a pleasure to handle this phone. The curved screen is gorgeous! Performance : since it has top notch specs the performance is very good!I would be happier if they have given 6gb ram! Camera: low light performance is really good because of f1.5 Battery: it lasts a full day with average use. Got screen on time of 6 to 7 hrs. It's OK for  a flagship product
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Flipkart Customer,24999.0,5,Super!,Value for money at 20k. Still a beast even in 2020.1. Awesome camera both in bright and low light conditions. (See attached samples)2. Stellar screen. 3. Battery is not ground breaking but fast charging compensates for that. 4. IP 68 rating. I have no cons to share.Grab this gem before the offer ends...
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Sonam Goyal,24999.0,4,Facing an unexpected heating issue!!,"It is a great phone, Its been 3 Days since I am using it. Apart its powerful features and incredible look, I have been facing a heating issue ever since I have set up the phone - it still exists even after the software update performed yesterday. The battery is lasting 1 complete day on normal usage and taking around 1.5 hrs despite the fast charging feature.."
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Pabitra Pramanik,24999.0,5,Super!,"Samsung s9 is a awesome device. Great camera , styles model cool looking. And of course it's better then x."
"Samsung Galaxy S9 (Midnight Black, 64 GB)",Harish Benjwal ,24999.0,4,Delightful,The reason behind getting galaxy s9 was it's capability of low light photography as that is always has been a challenge for me. So I went ahead after testing galaxy s7 and LG g7 thinq in the past. And the mobile performs. The display is always a treat to look at. One can go for Galaxy S9 plus if portraits is his/her forte. Rest it's all about creative angles and composition.
"Samsung Galaxy S9 (Midnight Black, 64 GB)",No Name...,24999.0,No Rating...,No Comment Heading...,
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Vivek Bhore,30999.0,5,Best in the market!,"Awesome phone under 30k budget.Ultimate quadHD display experience. Best thing is rear camera. I m already owning A50s with so called 48MP camera. A50s is nothing compared to this phone. Camera dynamic range is huge. You get complete details like trees, buldings etc very neatly. Macro shots are also awesome. Night shots are exceptional. Only wide angle lens missing. But its no big deal.Triple or four camera setup on recent budget phones like A50, A51, A70 is fake. Its marketing gimmick. So ..."
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Deepak Rawat,30999.0,5,Excellent,Samsung Galaxy S9 Plus - The Perfect Smartphone ❤Pros:1. Best in class display. Infact it just got rewarded for the best smartphone display in the world. The screen is an eye catcher and has a 3D feel to it. It will leave you as well as your friends mesmerized.2. Extremely high screen to body ratio and the phone looks amazing with an all glass body. The back glass panel is a fingerprint magnet and a cover is recommended. The free silicon case inside the box does the job .3. It got a c...
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Prashant Anawkar,30999.0,5,Highly recommended,"Samsung Galaxy S9+ Coral Blue Maybe  I'm the 1st one who preordered.(6th March@2.14pm)Received this BadBouy  Before  Promising Date which is on 16 March. Even they can deliver earlier also on 15 March but still fine. Otherwise Device Is Terrific. It takes  sharp images even in Low light because of variable apertures. I found that it really captures better pictures than Pixel 2Xl. Received device along with some gifts.Go For It don't think Twice. Here I attached some images  of BadBouy,  ho..."
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Anuraag  Dev,30999.0,5,Fabulous!,"S9 plus deal is the best value deal with Dolby Atmos sound, camera with aperture at f/2.4, Super Slowmo @960fps, AR Emoji, Infinity Display, Iris Scanner and Face Recognition are now more faster and till now it has a headphone jack..!!"
